k,exit_ok,gamma,kr,tgo,fuel_opt,",fuel_sim",final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
959,1,0.480536897057796,6.15306180127373,663.986634414247,6636.39947432022,6975.53655333582,-1.03531963935556e-05,0.00127425788261869,-0.00037705316208303,0.115457709774299,-0.884542290225701,-0.00330125411687674,1.39563741050342e-05
960,1,0.477200584979373,6.13651994720147,665.238144925206,6638.13176213378,6957.97386987523,9.77932902171083e-07,0.00121524954095747,-0.000355068128556013,0.113859930325349,-0.886140069674651,-0.00328020862990565,1.38665321407058e-05
961,1,0.477374938853361,6.13738370682616,665.925631899884,6642.03048976989,6955.98619836523,5.17796060897483e-06,0.00123268302063122,-0.000358784105628729,0.113943138563255,-0.886056861436745,-0.00327759570651949,1.38398637010504e-05
962,1,0.507957217502316,6.28984830266943,652.257371786849,6622.83017210471,6922.95557219094,4.37771794477987e-06,0.00111868927707175,-0.000213590217754245,0.129010155792336,-0.870989844207664,-0.00348625313485939,1.47843480812845e-05
963,1,0.478025849933003,6.14061191208698,663.94557041778,6640.09832867586,6968.5605220231,-3.04144267667761e-06,0.00122018542939973,-0.000356323551386595,0.114254337229585,-0.885745662770415,-0.00329027015256456,1.3929858187842e-05
964,1,0.505732954159116,6.27868612740793,649.485970587769,6623.71797310574,6920.75967735752,9.41733726363375e-07,0.00107223799653413,-0.000196088803932071,0.127881748912358,-0.872118251087642,-0.00349079874745337,1.48843277431756e-05
965,1,3.90081009859553,13.2964554006715,745.424579388173,6896.61810081109,7184.83796229869,9.78676991258845e-07,0.000797187534460776,-0.000801843591034412,0.494090485886042,-0.505909514113958,-0.00824002636358365,2.39292156351956e-05
966,1,0.481788074638221,6.1592717017245,663.375866682783,6642.80719521595,6971.47766233138,-1.86632080692117e-06,0.00126787782699101,-0.000378690427169204,0.11605984087731,-0.88394015912269,-0.00330988177595178,1.39961963446941e-05
967,1,0.481776114831251,6.15920980189675,663.171150613208,6641.26760449342,6962.83125546948,-6.68888512980856e-07,0.00126476259810696,-0.00037718890234828,0.116053832651772,-0.883946167348228,-0.00331084778276303,1.4004697978006e-05
968,1,0.507514134480224,6.28762419249783,652.035653332361,6627.94978989811,6952.2049533815,-3.55148864204953e-06,0.00112195894792461,-0.000213440041989088,0.128785000609979,-0.871214999390021,-0.00348538777786816,1.47891729936089e-05
969,1,0.505635078290603,6.27820712678088,650.360907124748,6626.06433225263,6942.35702002472,-2.54131813014603e-06,0.00108912932106106,-0.000198018969967961,0.127833414304131,-0.872166585695869,-0.00348565996642806,1.4843174163069e-05
970,1,0.480032120865153,6.1505597915058,663.005936791194,6635.46079448085,6943.9255125541,3.10211726093734e-06,0.00123486391770323,-0.000362965743988752,0.115215464112598,-0.884784535887402,-0.0033038849855056,1.39920004445148e-05
971,1,0.479753936040968,6.14917843981307,665.705067053179,6637.1638822592,6947.25699640889,8.10335690501832e-07,0.00126192732762068,-0.000375807983800769,0.115081808958096,-0.884918191041904,-0.00328925095697028,1.38756510832196e-05
972,1,0.479201338191305,6.14643888758394,664.135099176353,6641.57519279483,6969.70143144944,-6.65774515166289e-06,0.00124915688162786,-0.000367294298484921,0.114816923792632,-0.885183076207368,-0.00329456517250505,1.39351196419384e-05
